seg,tier,metric,n,ndef,nsteps,veclen
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/sweep_c_fd_random,60,60,30,4
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/sweep_c_fd_update,60,60,30,4
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/sweep_e_curv_gradient,60,60,30,5
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/sweep_e_curv_random,60,60,30,4
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/sweep_e_curv_update,60,60,30,4
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/sweep_eps_gradient,60,60,30,5
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/sweep_eps_random,60,60,30,4
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/sweep_eps_update,60,60,30,4
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/sweep_floor_gradient,60,60,30,5
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/sweep_floor_random,60,60,30,4
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/sweep_floor_update,60,60,30,4
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/sweep_snr_gradient,60,60,30,5
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/sweep_snr_random,60,60,30,4
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/sweep_snr_update,60,60,30,4
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/verdict_code_gradient,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/verdict_code_random,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/verdict_code_update,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/vhv_gradient,60,60,30,0
