tier,metric,acceptance_arm,channels,rel_median,rel_worst_channel,rel_worst_point,complete_frac,noise_vs_swing,rel_early,rel_late
periodic,probe/x0_contribution_ratio,-1,24,0.24175667584935928,0.8523844488495929,4.91066318828588,1.0,0.5625011406037631,0.18290070697273642,0.25034684306175015
sparse,curvature/eta_star,native,1,0.24915073821490685,0.24915073821490685,3.3670744883249113,0.9615384615384616,0.09753643978368877,0.16932560438117494,0.2634590795048389
sparse,curvature/c_fd_gradient,native,1,0.25171561239536067,0.25171561239536067,6.457863232717737,1.0,0.12874260723403097,0.2637745634463041,0.23120679988222195
sparse,curvature/curv_snr_gradient,native,1,0.2519400999622484,0.2519400999622484,1.9635569058754554,1.0,0.08782766353529681,0.2667908968717419,0.2310769568694403
sparse,curvature/eta_star,shadow_fp32,1,0.25919170024163707,0.25919170024163707,3.524457990201732,0.8928571428571429,0.10237463119959736,0.2561445170042853,0.25919170024163707
periodic,noise/b_noise,-1,1,0.26218054437610155,0.26218054437610155,1.027168581023893,0.96,0.028222589587385504,0.3098374240504843,0.260829758863088
periodic,optim/adamw_v_rms,-1,35,0.26717929597798085,0.9744167768801024,1.9227021332688203,1.0,0.0717690635666886,0.31664917737802867,0.2645134699384111
periodic,optim/adamw_v_norm,-1,35,0.26717929597798085,0.9744167974718283,1.9227018703561984,1.0,0.0717690635666886,0.31664919587640017,0.2645134699384111
periodic,overhead/attention,-1,1,0.27820212945490586,0.27820212945490586,0.33818070954766455,1.0,5.060071925795958,0.2452998100571862,0.28002214446345086
periodic,probe/x0_term_norm,-1,24,0.28048117216126695,0.8701274877870729,7.226496316245127,1.0,0.34908613599319194,0.38311478625682005,0.28048117216126695
periodic,grad/max_abs,-1,15,0.2877344044532766,0.6064546675830285,3.145673439203871,1.0,0.23704943748914636,0.2934154447047994,0.27765041841104354
sparse,curvature/gHg,shadow_fp32,1,0.2918177201358942,0.2918177201358942,1.4324874210936682,1.0,0.055285880499052725,0.26413290473995377,0.30910254418598115
sparse,curvature/gHg,native,1,0.29588017302856473,0.29588017302856473,1.5680269490818506,1.0,0.057795722344576805,0.2676251813444876,0.31196672498023004
sparse,curvature/e_fd_gradient,shadow_fp32,1,0.2991847003312823,0.2991847003312823,0.5826258341242627,1.0,0.13012966732038497,0.08810308718952446,0.3354141079202408
sparse,curvature/fd_eps_gradient,shadow_fp32,1,0.3055959569249712,0.3055959569249712,1.2780193008453877,1.0,0.02675636896153588,0.0,0.31304951684997057
periodic,sketch/grad_sq_norm,-1,113,0.30765461353467904,2.222362174295622,146.69592934071548,1.0,0.16619268500024192,0.4637682710117362,0.3027984602653488
continuous,overhead/grads_ready,-1,1,0.30966454630330664,0.30966454630330664,8.537167226718621,1.0,1.226029284764605,0.27749264242539096,0.3156772096174827
sparse,curvature/fd_floor_gradient,shadow_fp32,1,0.3203975749725485,0.3203975749725485,1.3241023840694461,1.0,0.09186838317987742,0.021364820806583605,0.3869298521830451
sparse,curvature/e_fd_update,shadow_fp32,1,0.32645343446425107,0.32645343446425107,0.32645343446425107,0.0,,0.32645343446425107,
